mcEdepQuenched,BerekelyAlphaBeta
0.0610215,-2.47447
0.0626459,1.21086
0.0631423,0.705617
0.0610122,1.94105
0.0603118,-1.84285
0.0605198,2.1072
0.0615549,-2.28858
0.0610058,-2.07588
0.0614663,0.00800676
0.0609214,0.417635
0.062645,-0.534989
0.0619018,3.51391
0.0597335,1.68609
0.0622445,0.275515
0.064628,0.673372
0.0623264,-1.47313
0.0634467,4.66781
0.0609464,-1.58612
0.0627371,2.1393
0.0617462,1.03998
0.0612003,-0.704723
0.0611437,-0.0341564
0.064538,4.3798
0.0639188,3.1668
0.0625666,2.54317
0.0618571,3.3391
0.0611896,3.32495
0.0629195,-0.229647
0.062959,-0.486663
0.061592,4.04673
0.0629126,0.235605
0.0612088,0.590581
0.0614856,-0.870702
0.0629193,3.58927
0.0630277,-0.75112
0.061724,4.7142
0.0622734,3.91588
0.0631791,-1.10421
0.0624367,-3.76877
0.0613748,3.37668
0.0620548,2.65059
0.0604894,-1.10558
0.0612296,1.00668
0.0629115,-1.71675
0.0629815,0.0769504
0.0634036,0.275666
0.0625036,5.47668
0.0606917,1.93132
0.0620234,5.93937
0.0642396,3.02416
0.0611165,2.48573
0.0613335,3.89126
0.0634965,11.4052
0.0633485,-2.30396
0.0625755,-4.13067
0.0616352,1.31582
0.0635427,-3.91192
0.0632141,2.56465
0.0639306,6.16498
0.0611345,2.62201
0.0605695,1.56207
0.0621392,-1.61757
0.0639515,-0.486339
0.0617896,1.31968
0.0618003,-1.75988
0.0634025,1.6188
0.0611699,5.79431
0.0641987,1.02792
0.0611796,9.98056
0.0635542,-1.50765
0.0630481,4.5932
0.0636405,5.07879
0.0640125,-1.83148
0.0615563,4.81148
0.0608037,4.69448
0.063393,0.251477
0.0616587,1.25305
0.0623492,-0.826053
0.0629702,5.58651
0.0629403,0.0993667
0.0610033,-0.439523
0.0617353,-0.816354
0.0627757,4.70489
0.0625717,-0.728044
0.0618176,4.32409
0.0619538,4.29635
0.0605369,0.587503
0.0616821,6.78256
0.0620424,0.88571
0.0624139,0.788549
0.0626263,3.6942
0.0621957,5.56443
0.0644207,0.0270641
0.0629199,0.828804
0.064213,0.24513
0.0609682,7.23803
0.0623832,-0.593207
0.0619016,8.43307
0.0611701,1.58955
0.0613827,1.25847
0.0624347,-1.49188
0.062661,0.756705
0.0629632,-0.96608
0.0604282,0.406923
0.0613278,3.10881
0.0614479,0.160483
0.0612574,0.11778
0.0610086,-1.18871
0.0632797,14.1223
0.0635207,-1.33256
0.0613911,3.11523
0.0610128,-0.513679
0.0635511,-1.75738
0.0628363,0.938262
0.0597003,-2.26819
0.0623768,0.791876
0.0619253,-3.44692
0.0616479,-0.288082
0.0633495,0.99339
0.0626495,1.36403
0.0633508,4.75512
0.0653364,3.85339
0.0634285,-1.69382
0.0617474,1.12664
0.0627327,-0.691675
0.0639299,-2.90737
0.0618857,-1.17342
0.0628936,0.350603
0.0637282,0.733141
0.0634533,-3.33125
0.0624897,7.25212
0.0620311,-1.26415
0.0629912,0.469801
0.0629645,3.90263
0.0601525,1.61896
0.0639713,2.71699
0.062706,1.48745
0.0612628,0.240947
0.0606742,2.37349
0.0633976,5.02495
0.0622475,5.35096
0.0616462,4.78952
0.0621361,-2.03843
0.0630666,0.725623
0.0609126,-0.419503
0.0638363,3.55215
0.0627129,6.29002
0.0628095,0.484082
0.0633714,2.63313
0.0625588,5.76882
0.0619106,0.811502
0.0617573,1.38348
0.0618828,-3.14234
0.0633674,4.65482
0.0640812,-0.280473
0.0615613,8.20469
0.0638971,1.98507
0.0633297,3.65044
0.0624361,4.46908
0.061425,2.25742
0.0628963,-0.467215
0.0612511,1.56594
0.0622109,2.66033
0.0600187,0.173274
0.0616428,0.62012
0.0601665,-4.10031
0.0624714,-1.44143
0.0625125,2.15154
0.0628204,-3.43201
0.0620044,5.78567
0.0617419,5.57872
0.0617889,0.831922
0.0621456,2.97097
0.0631245,2.08127
0.0621702,5.22471
0.06372,3.45292
0.0626393,3.5894
0.0609955,1.92474
0.063669,-3.62077
0.0635375,4.29527
0.0640968,3.1518
0.0639146,-5.85275
0.0624462,2.24206
0.0611889,-0.597949
0.0623397,1.95452
0.0615696,1.6803
0.062477,9.48491
0.0630165,3.74951
0.0624122,-2.69151
0.0614977,1.8051
0.0645938,-0.602916
0.0639993,-0.949997
0.0611543,1.00511
0.0614664,0.339929
0.063571,3.60096
0.0630028,-0.21992
0.0608956,-1.89038
0.0633198,2.81719
0.0634267,-0.913466
0.0597605,-1.73319
0.0623902,-1.87746
0.0600309,3.78656
0.0618252,-0.770523
0.061992,0.888961
0.0641417,3.69557
0.0618239,2.70111
0.0611737,8.60332
0.0616682,7.93041
0.063855,4.55923
0.0618109,1.23142
0.0606288,0.948043
0.0634776,2.68148
0.0638931,0.781026
0.0626888,0.853197
0.0628123,7.62138
0.0637116,4.36201
0.0631713,-1.86122
0.0620021,2.27603
0.0608387,-3.48579
0.0618753,8.6975
0.0602323,-3.49614
0.0621938,-2.47203
0.0616375,-2.03797
0.0624401,0.92542
0.0625049,-4.09063
0.0632242,4.26417
0.0629033,-0.682257
0.062542,2.91607
0.0627225,-1.34151
0.0636398,0.892415
0.0643457,5.07991
0.0632736,1.60662
0.0622111,-1.96263
0.0620603,1.90315
0.0624392,3.4012
0.0635306,-3.49374
0.063186,1.2285
0.0612236,1.35282
0.0627151,6.48808
0.0615663,7.42843
0.0641861,1.7255
0.0623277,-2.37994
0.0626157,3.5914
0.0606736,0.0247373
0.0621866,5.35434
0.0619177,2.29102
0.0626896,-1.94647
0.0638913,2.98068
0.0616134,-2.6837
0.0611901,3.14538
0.0623597,-0.612285
0.0605846,2.367
0.0641135,2.60772
0.0626182,0.388535
